0,Template Numerical Toolkit
1,Functional requirement
2,Recollection Wisconsin
3,Data remanence
4,Microsoft HealthVault
5,Perry Gregg
6,Media access unit
7,Gooey
8,Hebern rotor machine
9,Power usage effectiveness
10,IRC subculture
11,Computer Conservation Society
12,Mustek Systems
13,Intel C++ Compiler
14,Frame rate control
15,Syntactic monoid
16,Todd Rogers (gamer)
17,Translational Genomics Research Institute
18,EUCIP
19,CINE.AR Play
20,Available bit rate
21,Steven Schkolne
22,Black-box testing
23,Ricoh GR digital cameras
24,Range query (database)
25,Robert Hettinga
26,Information and Software Technology
27,Plextor
28,Aldus PhotoStyler
29,Polyglot persistence
30,Media Resource Control Protocol
31,Multicore Association
32,Melco
33,TCP pacing
34,Borland Reflex
35,Telescopic pixel display
36,Musculoskeletal injury
37,Semigraphics
38,Comparison of digital SLRs
39,MagSafe (Mac)
40,QuickDraw
41,Multiple Render Targets
42,Electrical load
43,Global Atmosphere Watch
44,Visit filter
45,Distributed manufacturing
46,Bomgar
47,Internet Explorer version history
48,David Eppstein
49,Neural Impulse Actuator
50,Jim Kent
51,Channel use
52,Aram Arutyunov
53,Shotgun email
54,Terminal (electronics)
55,Voice Funnel
56,Distributed Bragg reflector
57,Configuration graph
58,SmartDO
59,Multiple-criteria decision analysis
60,Randy Pausch
61,Intronerator
62,Digital geometry
63,Memory management (operating systems)
64,Memex
65,Hostinger
66,Journal of Multimedia
67,Infinidat
68,Website Meta Language
69,Web Services for Devices
70,Motor drive
71,Darmstadt Electronic Computing Machine (DERA)
72,Bioctl
73,AN/APG-80
74,Atomic semantics
75,Progressive web application
76,Internet protocol suite
77,EgoNet
78,Computers and Mathematics with Applications
79,LinuxTV
80,Seed loading
81,Alan Perlis
82,PC-based IBM-compatible mainframes
83,Wireless repeater
84,TouchToolkit
85,Multimap
86,Terrain rendering
87,System on module
88,Transclusion
89,Received noise power
90,Interaction Design Foundation
91,Mochi Media
92,MD5CRK
93,SV-328
94,Ludomusicology
95,Satellite (software)
96,Stochastic gradient Langevin dynamics
97,Fruux
98,Execution semantics
99,LaTeXML
100,Top-down and bottom-up design
101,QA (robot)
102,Mercury (cipher machine)
103,SB1394
104,EphPod
105,SGI algorithm
106,PlayStation Network
107,Stylometry
108,Jason Spisak
109,Palm (PDA)
110,Resource Reservation Protocol
111,Blackhole exploit kit
112,NetIQ
113,Nobuo Mii
114,CDC Wren
115,C shell
116,Desktop and mobile Architecture for System Hardware
117,Btrieve
118,Thomas write rule
119,DOCSIS Set-top Gateway
120,Cross-layer interaction and service mapping
121,Level-set method
122,Asus Vivo
123,John Baillieul
124,Four Square Writing Method
125,Positive feedback
126,Riverbank Publications
127,Data compaction
128,Fuzzy architectural spatial analysis
129,3D data acquisition and object reconstruction
130,Unstructured Operation Markup Language
131,Community cloud
132,Fessenden oscillator
133,OpenDaylight Project
134,TheTVDB
135,SourcePuller
136,Operational acceptance testing
137,Criticism of Perl
138,Primitive data type
139,Alesis Artificial Intelligence
140,Toonimo
141,VDIworks
142,Xilin Chen
143,Mama (software)
144,Creed & Company
145,Formatted File System
146,QRIO
147,Intelligent device management
148,SD Download Manager
149,Janos Sztipanovits
150,Epyx
151,Comparison of Q&A sites
152,ONIX (publishing protocol)
153,Impedance bridging
154,Markup language
155,Thomas Fowler (inventor)
156,Email production
157,Copositive matrix
158,Cabos
159,MakerPlane
160,Plain Old Documentation
161,Virtual Processor
162,Euphoria (programming language)
163,FLEX (protocol)
164,Web platform
165,Visual Test
166,Concrete Mathematics
167,Identity transform
168,Dave Lavery
169,Wholesale Applications Community
170,Critical code studies
171,Cross-entropy method
172,Translinear circuit
173,M86 Security
174,Paul Hudak
175,Recursion
176,STARAN
177,"""Hello, World!"" program"
178,Orbix (software)
179,WebORB Integration Server
180,Derek Belch
181,RF CMOS
182,IATA delay codes
183,Subclass reachability
184,Coupling coefficient of resonators
185,EIA-530
186,GeoDNS
187,Unsupervised learning
188,1999 (Charli XCX and Troye Sivan song)
189,Don Libes
190,Moving panorama
191,Privacy settings
192,Dave the Resurrector
193,Bridging fault
194,SCVP
195,"Tony Giffard, 3rd Earl of Halsbury"
196,EmuTOS
197,System under test
198,Foxy (P2P)
199,Computational complexity theory
200,Drift plus penalty
201,Digital Enterprise Research Institute
202,Khronos Group
203,International Middleware Conference
204,Donald Bren School of Information and Computer Sciences
205,David Marr (neuroscientist)
206,Atomic Reach
207,Sony Alpha 55
208,Stability theory
209,SQuirreL SQL Client
210,Info-ZIP
211,Amiga Advanced Graphics Architecture
212,Cathedral floorplan
213,Maja Matarić
214,2020 European Medicines Agency cyberattack
215,California Avocado Society
216,DEC Text Processing Utility
217,OMDoc
218,Fast automatic restoration
219,Active shutter 3D system
220,Wei Wang (computer scientist)
221,SHINE Expert System
222,Frank–Wolfe algorithm
223,Design rule checking
224,General Data Protection Regulation
225,FSArchiver
226,Download!
227,PoolParty Semantic Suite
228,Journal of Global Information Management
229,WWE Network
230,PyX (vector graphics language)
231,Selex Galileo
232,SILAM
233,X10 accelerated floppy drive
234,Point of interest
235,Pharming
236,Canonical XML
237,OpenDocument adoption
238,Cg (programming language)
239,Shorewall
240,Chaos machine
241,Michel Balinski
242,Object–relational database
243,"School of Computer Science and Electronic Engineering, Essex University"
244,Robb Topolski
245,Time-sharing system evolution
246,Donald D. Chamberlin
247,Lajos Takács
248,Project MUSE
249,ACM SIGGRAPH
250,NetHack
251,ALGOL N
252,Common Workflow Language
253,KaPPA-View4
254,Hexbug
255,Casio Loopy
256,GThumb
257,Gandi
258,Sidney Fernbach Award
259,Multidimensional empirical mode decomposition
260,QuantConnect
261,Peter Stone (professor)
262,Military Scenario Definition Language
263,Christoph Koutschan
264,Holevo's theorem
265,Model-driven application
266,Royal Radar Establishment
267,Grøstl
268,HTC One S
269,Small business software
270,ST506/ST412
271,Smoothing
272,Trinary computer
273,NYSERNet
274,Console Inc.
275,International Standard Music Number
276,RetroN
277,DigiKam
278,User Location Service
279,TAG (BBS)
280,Parallels Workstation Extreme
281,Orion (system-on-a-chip)
282,Delphi (software)
283,Global Document Type Identifier
284,Wapedia
285,ON Semiconductor
286,International Robot Exhibition
287,Cloud analytics
288,Ultimate++
289,IPhone OS 1
290,Abrizio
291,Victor Lazzarini
